# ----------------------------------------
# melissani-cave.com - GA4
# Adsense per page-Free-form 1
# 20240708-20250708
# ----------------------------------------

Landing page + query string,Total ad revenue,Views
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR2UO12R8QNM4heFNvyJLYxThvjbvzQ92giYCQQ5m5x1fM9--K9mEJRSEFA_aem_0dNYkz12lGN4ntMbOZHknQ,0,2
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR2cqBG1Hb8J6nbcdf7iABlhum3CXFzXARdvMTbE125EBPY5OW1fcr5S_s8_aem_KcFEgiXVlEyyz9z7igQHzQ,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR38TR8BFSzEhybUM-mKewtQSYDplZnfaCbTMIKB88q3uZUN0QFFMpziXCQ_aem_YbsID4LvYvsFvZsuh-maAA,0,2
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR3DXfplFKNFGsQMveRRDzBB70DDWI6qjzbY9dYXtnJ25QlX_6aGVcPCf5s_aem_7Pg5rXDtRk4uJI8SV5wlEw,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR3MRuVKQXAeJya0nKkpKocDcCo3oUCzbXPQX4FfLOYRdQt98YKMlyA1xQc_aem_m7DVCVV1cT1dKhhVyJZ2lw,0,3
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR3NEo3z919WtJ6FEciEx4wRdR1_qOog7iHAqHDCyVa0w8VSRnZbpWqBcbo_aem_hh1Q9s-p1Pl6hKE4MisWqg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR3UvC3xt4GICnMWElMDC5mKvo3t2smQvgI2nqNgesA7oNSczUkLpgxSCW0_aem_8H37zDh_VjQJurLv6X4GmA,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR3eDLzXIV14SES5riUEyRz7V4Ouki0jITVfj0J0uZM74CIZttqN5kSXAUE_aem_CX7evFZiZ7-5l-U9OW4dQg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR3kOtEbpPB8KfiFe6MF9WULiNUX2iOZNQXquBdFQABoxFQLG8pqDMDNvcA_aem_dfAcop0cFCwM0zZJJjbGJA,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR3y-KQ38eF8Jwx6YktbT_gxoX9Y69wA8QIZ7QpIgSk0o76Wk8zvuurABTU_aem_PXf14abfc0_U8NecVhSYOA,0,1
